iter	Passed	Remaining
0	61	61783
1	76	38322
2	87	29022
3	97	24192
4	108	21574
5	118	19569
6	121	17268
7	125	15594
8	130	14383
9	134	13295
10	138	12412
11	141	11676
12	145	11045
13	150	10630
14	158	10380
15	161	9960
16	166	9603
17	170	9278
18	173	8960
19	177	8677
20	181	8477
21	187	8340
22	191	8137
23	195	7935
24	200	7817
25	203	7639
26	207	7479
27	211	7325
28	214	7186
29	218	7050
30	221	6927
31	225	6815
32	231	6772
33	236	6722
34	243	6701
35	251	6728
36	256	6680
37	266	6749
38	271	6685
39	278	6688
40	289	6764
41	296	6758
42	299	6670
43	304	6617
44	308	6542
45	311	6467
46	315	6391
47	318	6318
48	323	6273
49	326	6210
50	330	6145
51	333	6077
52	336	6017
53	340	5961
54	343	5902
55	347	5851
56	350	5795
57	353	5742
58	356	5690
59	359	5637
60	363	5591
61	366	5544
62	369	5499
63	373	5457
64	377	5432
65	383	5422
66	386	5385
67	390	5345
68	395	5330
69	401	5335
70	405	5306
71	408	5270
72	412	5239
73	416	5205
74	419	5175
75	424	5164
76	436	5229
77	450	5323
78	459	5354
79	463	5333
80	467	5298
81	471	5273
82	475	5256
83	479	5225
84	482	5193
85	485	5161
86	489	5133
87	492	5105
88	497	5091
89	501	5070
90	504	5043
91	508	5015
92	511	4987
93	515	4964
94	519	4944
95	522	4924
96	526	4904
97	530	4879
98	533	4854
99	536	4831
100	540	4814
101	544	4790
102	548	4776
103	553	4767
104	556	4742
105	559	4722
106	563	4699
107	566	4679
108	569	4657
109	573	4636
110	578	4635
111	583	4625
112	587	4608
113	591	4595
114	594	4576
115	597	4556
116	601	4537
117	604	4522
118	609	4511
119	616	4519
120	620	4508
121	624	4495
122	630	4495
123	635	4488
124	639	4474
125	644	4468
126	649	4465
127	653	4451
128	656	4434
129	661	4426
130	665	4414
131	669	4400
132	672	4383
133	676	4373
134	685	4394
135	692	4398
136	695	4382
137	698	4365
138	702	4348
139	705	4333
140	708	4317
141	712	4304
142	715	4289
143	719	4276
144	722	4260
145	725	4245
146	729	4231
147	732	4217
148	736	4206
149	741	4203
150	745	4191
151	749	4180
152	752	4166
153	756	4153
154	759	4139
155	763	4128
156	768	4124
157	771	4111
158	776	4106
159	780	4095
160	783	4083
161	788	4081
162	792	4068
163	795	4056
164	799	4044
165	802	4032
166	805	4019
167	809	4008
168	813	4000
169	817	3991
170	821	3980
171	825	3975
172	830	3968
173	833	3958
174	838	3953
175	844	3953
176	847	3942
177	851	3930
178	854	3921
179	858	3909
180	862	3904
181	867	3896
182	870	3887
183	874	3877
184	877	3867
185	882	3862
186	886	3852
187	889	3842
188	893	3832
189	896	3821
190	899	3811
191	903	3801
192	906	3790
193	910	3782
194	914	3773
195	917	3763
196	920	3752
197	924	3743
198	927	3735
199	931	3725
200	935	3716
201	938	3708
202	942	3700
203	945	3691
204	949	3681
205	952	3672
206	956	3662
207	959	3653
208	963	3644
209	966	3636
210	970	3627
211	975	3624
212	978	3617
213	982	3608
214	986	3602
215	990	3594
216	993	3586
217	997	3577
218	1000	3569
219	1004	3561
220	1008	3553
221	1011	3544
222	1015	3539
223	1020	3536
224	1025	3531
225	1028	3522
226	1031	3513
227	1035	3505
228	1038	3496
229	1041	3487
230	1045	3479
231	1048	3470
232	1052	3463
233	1055	3456
234	1059	3448
235	1062	3439
236	1071	3448
237	1081	3461
238	1090	3473
239	1099	3481
240	1115	3511
241	1131	3542
242	1147	3576
243	1154	3576
244	1158	3568
245	1161	3560
246	1165	3552
247	1168	3542
248	1172	3537
249	1176	3529
250	1179	3521
251	1184	3515
252	1188	3509
253	1192	3501
254	1195	3492
255	1199	3484
256	1202	3475
257	1208	3474
258	1213	3470
259	1216	3462
260	1220	3455
261	1223	3447
262	1227	3439
263	1230	3430
264	1233	3422
265	1237	3414
266	1243	3415
267	1248	3410
268	1251	3402
269	1255	3394
270	1258	3386
271	1262	3378
272	1265	3370
273	1269	3362
